Month,Temperature,Water_T,Kc,Rainfall,ET0,ETM,I,Gross_I,Flowrate
January,4.72,3.81,0.7,137,17.9832,12.588239999999999,29679.82133333333,84799.48952380952,0.9814755731922398
February,24.88,5.04,1.1,96,125.3952,137.93472000000003,498518.46400000015,1424338.4685714291,16.485398941798948
March,25.71,4.62,1.1,93,118.78020000000001,130.65822000000003,471965.4140000001,1348472.6114285719,15.607321891534397
April,26.68,6.85,0.5,97,182.75799999999998,91.37899999999999,326138.9666666666,931825.6190476189,10.78501873897707
May,27.02,6.17,0.7,189,166.7134,116.69937999999999,408477.70599999995,1167079.16,13.507860648148148
June,26.47,6.59,1.1,248,174.4373,191.88103,679373.1443333334,1941066.126666667,22.466043132716052
July,25.94,6.78,1.1,291,175.87320000000003,193.46052000000003,679913.9240000001,1942611.211428572,22.483926058201064
August,25.92,8.36,0.5,310,216.6912,108.3456,362645.38666666666,1036129.6761904763,11.992241622574957
September,25.9,6.96,0.7,281,180.26399999999998,126.18479999999998,432227.0933333333,1234934.5523809525,14.293223985890654
October,25.83,4.82,1.1,280,124.5006,136.95066000000003,472184.1086666668,1349097.4533333338,15.614553858024697
November,25.65,4.5,1.1,230,115.425,126.9675,441413.0833333334,1261180.2380952383,14.596993496472665
December,25.21,7.03,0.5,207,177.2263,88.61315,302338.655,863824.7285714287,9.997971395502647
