,S2,Date,S1
6939,26.865176,2021-12-31,70.584915
6940,20.233395,2022-01-01,52.355518
6941,20.619665,2022-01-02,61.858995
6942,10.281034,2022-01-03,30.843102
6943,3.4243413,2022-01-04,13.564053
6944,6.983707,2022-01-05,25.141016
6945,17.038652,2022-01-06,59.353533
6946,24.478653,2022-01-07,73.435958
6947,83.688209,2022-01-08,224.45485
6948,272.61976,2022-01-09,721.74588
6949,50.915597,2022-01-10,152.74679
6950,24.145809,2022-01-11,88.814312
6951,15.59241,2022-01-12,58.31679
6952,16.51989,2022-01-13,60.735857
6953,23.083542,2022-01-14,68.770615
6954,31.424628,2022-01-15,64.710038
6955,43.456807,2022-01-16,130.37042
6956,45.094762,2022-01-17,96.417093
6957,27.277329,2022-01-18,99.700113
6958,33.002366,2022-01-19,84.408154
6959,21.115719,2022-01-20,80.174787
6960,21.638584,2022-01-21,62.204576
6961,18.632574,2022-01-22,55.897723
6962,17.935592,2022-01-23,61.254229
6963,22.36457,2022-01-24,51.837147
6964,24.104273,2022-01-25,72.31282
6965,33.420656,2022-01-26,90.044506
6966,46.699616,2022-01-27,146.60644
6967,93.816125,2022-01-28,331.32881
6968,20.255279,2022-01-29,79.553884
6969,14.438315,2022-01-30,52.365688
6970,13.280017,2022-01-31,32.520928
6971,7.2427276,2022-02-01,25.352337
6972,22.012377,2022-02-02,48.431705
6973,36.058752,2022-02-03,98.961534
6974,54.663976,2022-02-04,162.34238
6975,17.840136,2022-02-05,69.412949
6976,7.5984758,2022-02-06,17.659214
6977,2.3447039,2022-02-07,7.3434354
6978,4.1960656,2022-02-08,13.987496
6979,6.5857793,2022-02-09,19.757338
6980,6.9354667,2022-02-10,20.8064
6981,6.7707356,2022-02-11,20.194447
6982,9.3334248,2022-02-12,18.795698
6983,13.062606,2022-02-13,33.56999
6984,19.611635,2022-02-14,58.834905
6985,18.568808,2022-02-15,53.677016
6986,16.347886,2022-02-16,49.043658
6987,16.071821,2022-02-17,38.115927
6988,11.209202,2022-02-18,27.450461
6989,7.2019971,2022-02-19,22.379994
6990,6.3945618,2022-02-20,23.341634
6991,5.4220804,2022-02-21,21.418353
6992,5.2744517,2022-02-22,15.823355
6993,3.0690097,2022-02-23,9.1792943
6994,3.6606991,2022-02-24,8.4799195
6995,2.3729593,2022-02-25,7.0348346
6996,4.7450756,2022-02-26,9.5775459
6997,2.9649803,2022-02-27,9.5775459
6998,2.7404777,2022-02-28,8.2214332
6999,1.9093566,2022-03-01,5.3396937
7000,1.1583463,2022-03-02,3.4750388
7001,1.4973744,2022-03-03,4.4921233
7002,2.9715804,2022-03-04,6.6110494
7003,2.8294529,2022-03-05,10.679387
7004,7.3131575,2022-03-06,18.985578
7005,14.126174,2022-03-07,42.378522
7006,26.528955,2022-03-08,79.586864
7007,18.176469,2022-03-09,48.226758
7008,12.039773,2022-03-10,39.751053
7009,12.608967,2022-03-11,34.072331
7010,14.813581,2022-03-12,40.42911
7011,10.562388,2022-03-13,38.903483
7012,21.768669,2022-03-14,48.7353
7013,32.938596,2022-03-15,72.891057
7014,41.02241,2022-03-16,123.06723
7015,65.159296,2022-03-17,173.75194
7016,24.331146,2022-03-18,58.143332
7017,12.840197,2022-03-19,48.565786
7018,15.877819,2022-03-20,47.633458
7019,17.537156,2022-03-21,65.178166
7020,34.385377,2022-03-22,96.877301
7021,40.57037,2022-03-23,121.71111
7022,22.375859,2022-03-24,67.127578
7023,29.532776,2022-03-25,62.296427
7024,12.374528,2022-03-26,37.123585
7025,16.57124,2022-03-27,40.630025
7026,17.347182,2022-03-28,52.041545
7027,20.985457,2022-03-29,65.961091
7028,20.607616,2022-03-30,61.822847
7029,14.964557,2022-03-31,44.89367
7030,7.7070556,2022-04-01,25.080263
7031,7.8583834,2022-04-02,26.961282
7032,7.1882865,2022-04-03,26.459677
7033,9.4293482,2022-04-04,30.723322
7034,10.408309,2022-04-05,31.224927
7035,10.575511,2022-04-06,31.726532
7036,8.8238894,2022-04-07,22.697638
7037,3.5882332,2022-04-08,9.6559011
7038,1.7030337,2022-04-09,4.7652499
7039,1.8198357,2022-04-10,5.8938617
7040,2.1318223,2022-04-11,6.395467
7041,2.3840246,2022-04-12,8.401888
7042,3.051432,2022-04-13,9.1542959
7043,3.6784387,2022-04-14,11.035316
7044,4.6107403,2022-04-15,13.041737
7045,4.681649,2022-04-16,14.044947
7046,4.5898743,2022-04-17,14.671954
7047,5.6090283,2022-04-18,14.671954
7048,4.5613977,2022-04-19,15.549763
7049,5.2250547,2022-04-20,15.675164
7050,11.982093,2022-04-21,36.491782
7051,12.834892,2022-04-22,43.01265
7052,22.530436,2022-04-23,67.591308
7053,29.59471,2022-04-24,88.78413
7054,97.948107,2022-04-25,330.93407
7055,30.266915,2022-04-26,120.05815
7056,27.43452,2022-04-27,67.639598
7057,11.928495,2022-04-28,32.750905
7058,6.0428127,2022-04-29,18.128438
7059,3.9050253,2022-04-30,11.715076
7060,4.414031,2022-05-01,13.254283
7061,4.5682507,2022-05-02,13.425306
7062,4.3107794,2022-05-03,14.79349
7063,4.6342941,2022-05-04,13.68184
7064,7.8096215,2022-05-05,22.489525
7065,13.29185,2022-05-06,30.18556
7066,10.460907,2022-05-07,31.382721
7067,8.1465766,2022-05-08,22.575036
7068,4.5055123,2022-05-09,13.254283
7069,3.2323051,2022-05-10,12.228145
7070,4.9909782,2022-05-11,10.688938
7071,4.1615597,2022-05-12,12.484679
7072,3.7340023,2022-05-13,11.202007
7073,3.7340023,2022-05-14,11.202007
7074,4.9155796,2022-05-15,11.97161
7075,6.1369217,2022-05-16,14.109398
7076,7.2399737,2022-05-17,21.719921
7077,7.6650797,2022-05-18,23.857709
7078,6.3336465,2022-05-19,23.686686
7079,9.1497307,2022-05-20,27.449192
7080,8.8361883,2022-05-21,26.508565
7081,9.5202803,2022-05-22,28.560841
7082,8.6613274,2022-05-23,27.876749
7083,10.622407,2022-05-24,30.18556
7084,8.8663176,2022-05-25,24.370778
7085,4.5531463,2022-05-26,13.659439
7086,3.2313937,2022-05-27,8.0857596
7087,1.8605822,2022-05-28,6.3587042
7088,1.9947889,2022-05-29,5.9661916
7089,2.6952532,2022-05-30,8.0857596
7090,4.8409887,2022-05-31,14.522966
7091,3.8959909,2022-06-01,15.072484
7092,3.1684536,2022-06-02,12.246393
7093,2.4335781,2022-06-03,7.3007344
7094,2.0422618,2022-06-04,6.1231966
7095,3.8119612,2022-06-05,11.539871
7096,3.492909,2022-06-06,13.423931
7097,8.4188095,2022-06-07,30.066465
7098,19.658666,2022-06-08,56.443312
7099,16.379007,2022-06-09,57.62085
7100,17.940328,2022-06-10,46.630497
7101,12.429566,2022-06-11,37.288697
7102,12.933764,2022-06-12,29.359943
7103,6.1271819,2022-06-13,23.472254
7104,5.8654709,2022-06-14,19.547128
7105,6.6706148,2022-06-15,18.840605
7106,5.7716297,2022-06-16,19.62563
7107,18.447179,2022-06-17,52.361181
7108,45.754372,2022-06-18,116.26223
7109,53.523666,2022-06-19,171.52801
7110,54.350777,2022-06-20,210.22975
7111,22.69556,2022-06-21,68.768208
7112,49.248481,2022-06-22,128.19462
7113,17.890796,2022-06-23,53.460217
7114,21.494469,2022-06-24,62.723514
7115,10.862078,2022-06-25,37.863101
7116,9.5044422,2022-06-26,24.542114
7117,6.3629377,2022-06-27,18.045672
7118,3.4463801,2022-06-28,13.189746
7119,5.7251458,2022-06-29,15.355226
7120,4.5934437,2022-06-30,13.780331
7121,4.396582,2022-07-01,13.189746
7122,3.9989504,2022-07-02,13.058504
7123,12.022607,2022-07-03,41.93158
7124,32.751104,2022-07-04,96.002975
7125,66.99866,2022-07-05,200.99598
7126,29.680344,2022-07-06,75.857443
7127,27.747079,2022-07-07,79.007233
7128,18.061122,2022-07-08,56.69622
7129,34.04782,2022-07-09,100.66204
7130,33.750873,2022-07-10,101.25262
7131,25.158571,2022-07-11,55.186946
7132,20.030429,2022-07-12,75.726202
7133,39.059905,2022-07-13,143.38107
7134,209.3627,2022-07-14,715.26482
7135,84.147517,2022-07-15,252.44255
7136,10.310533,2022-07-16,29.33242
7137,15.333353,2022-07-17,46.000058
7138,13.277377,2022-07-18,46.065679
7139,16.865682,2022-07-19,60.567837
7140,11.85546,2022-07-20,35.566379
7141,6.7232339,2022-07-21,20.9986
7142,6.102718,2022-07-22,18.308154
7143,8.5306813,2022-07-23,25.592044
7144,23.857018,2022-07-24,48.23116
7145,45.346452,2022-07-25,162.86153
7146,45.930252,2022-07-26,109.07701
7147,80.844327,2022-07-27,242.53298
7148,50.843944,2022-07-28,198.42465
7149,60.430094,2022-07-29,231.47448
7150,56.317233,2022-07-30,177.5643
7151,33.636267,2022-07-31,100.9088
7152,20.757638,2022-08-01,68.110299
7153,22.83366,2022-08-02,63.586367
7154,36.765254,2022-08-03,87.211342
7155,42.4328,2022-08-04,127.2984
7156,57.009913,2022-08-05,171.02974
7157,214.35724,2022-08-06,641.39292
7158,215.31655,2022-08-07,750.72126
7159,108.36491,2022-08-08,325.09473
7160,198.04861,2022-08-09,584.96945
7161,139.84943,2022-08-10,379.13057
7162,114.44545,2022-08-11,370.08271
7163,60.248548,2022-08-12,191.01043
7164,27.4318,2022-08-13,99.903482
7165,18.331361,2022-08-14,40.715382
7166,6.9953383,2022-08-15,20.986015
7167,2.5551834,2022-08-16,7.6655502
7168,2.1405905,2022-08-17,6.4089026
7169,2.7451549,2022-08-18,9.4248568
7170,8.675845,2022-08-19,19.101043
7171,11.733998,2022-08-20,42.223359
7172,38.8723,2022-08-21,116.6169
7173,65.93051,2022-08-22,235.99842
7174,29.656836,2022-08-23,99.400823
7175,12.09168,2022-08-24,36.275039
7176,11.16155,2022-08-25,33.484651
7177,10.922023,2022-08-26,34.065982
7178,6.0458397,2022-08-27,18.137519
7179,5.6467522,2022-08-28,17.323656
7180,9.8312624,2022-08-29,31.973191
7181,22.478122,2022-08-30,67.434367
7182,36.544006,2022-08-31,109.63898
7183,46.21757,2022-09-01,150.0996
7184,39.9568,2022-09-02,119.8704
7185,29.723763,2022-09-03,74.294069
7186,23.481779,2022-09-04,52.552299
7187,17.206995,2022-09-05,53.831227
7188,37.470204,2022-09-06,131.84581
